2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration timestamp -> org.hibernate.type.TimestampType@614df0a4
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@614df0a4
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@614df0a4
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@7d64e326
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration calendar -> org.hibernate.type.CalendarType@ebaa6cb
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@ebaa6cb
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@ebaa6cb
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@604c5de8
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@584f54e6
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration locale -> org.hibernate.type.LocaleType@5ef6ae06
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@5ef6ae06
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration currency -> org.hibernate.type.CurrencyType@604f2bd2
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@604f2bd2
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@366ac49b
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@366ac49b
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration class -> org.hibernate.type.ClassType@663411de
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@663411de
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@9ef8eb7
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@9ef8eb7
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@4535b6d5
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration binary -> org.hibernate.type.BinaryType@40844aab
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration byte[] -> org.hibernate.type.BinaryType@40844aab
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration [B -> org.hibernate.type.BinaryType@40844aab
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@6d23017e
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@6d23017e
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@6d23017e
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration row_version -> org.hibernate.type.RowVersionType@10ded6a9
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration image -> org.hibernate.type.ImageType@340b9973
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration characters -> org.hibernate.type.CharArrayType@5a9d6f02
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration char[] -> org.hibernate.type.CharArrayType@5a9d6f02
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration [C -> org.hibernate.type.CharArrayType@5a9d6f02
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@3243b914
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@3243b914
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@3243b914
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration text -> org.hibernate.type.TextType@4dc8caa7
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration ntext -> org.hibernate.type.NTextType@3016fd5e
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration blob -> org.hibernate.type.BlobType@7ca33c24
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@7ca33c24
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@613a8ee1
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration clob -> org.hibernate.type.ClobType@2c5529ab
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@2c5529ab
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration nclob -> org.hibernate.type.NClobType@1d470d0
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@1d470d0
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@47f4e407
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@6ff65192
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration serializable -> org.hibernate.type.SerializableType@2072acb2
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration object -> org.hibernate.type.ObjectType@4fce136b
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@4fce136b
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@19648c40
2021-06-14 00:14:18 DEBUG BasicTypeRegistry:157 - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@12bd8a64
